#
#  conversion from RegDef.txt for
#   input design        = ppe
#   input design level  = 1
#

SECTION BITS

#design    dlevel   dir  reg_name                         field_name                                         format  ext_addr   rw           startbit  numbits  scope      rlm_name                                           clk_type  scanring  reset_val                                                              reset_sig  parity  pulse  reg_name_txt                                       description                                                                                        
#========= ======== ==== ================================ ================================================== ======= ========== ============ ========= ======== ========== ================================================== ========= ========= ====================================================================== ========== ======= ====== ================================================== =================================================================================================== 
ppe        1        rx   rx_ppe_cntl1_pl                  rx_recal_abort                                     gcr     000000000  RWX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Stop recalibration on given lane"                                                                  
ppe        1        rx   rx_ppe_cntl1_pl                  rx_enable_auto_recal                               gcr     000000000  RWX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Enable Auto (Internal) Recalibration on this lane"                                                 
ppe        1        rx   rx_ppe_cntl2_pl                  rx_clr_lane_recal_cnt                              gcr     000000001  WO_8P        0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Clear Recalibration counter to zero. Self-clearing. LAB USE ONLY.\n0:Normal incrementing\1:reset counter to zero"
ppe        1        rx   rx_ppe_cntl2_pl                  rx_lane_hist_min_eye_height_valid                  gcr     000000001  RWX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Set by PPE when the lane min eye height is valid; cleared by FW to reset the checking."            
ppe        1        rx   rx_ppe_cntl2_pl                  rx_lane_hist_min_eye_width_valid                   gcr     000000001  RWX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Set by PPE when the lane min eye width is valid; cleared by FW to reset the checking. Both banks are checked."
ppe        1        rx   rx_ppe_stat1_pl                  rx_init_done                                       gcr     000000100  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Initial training complete on given lane"                                                           
ppe        1        rx   rx_ppe_stat1_pl                  rx_dccal_done                                      gcr     000000100  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "On-die DC training complete on given lane"                                                         
ppe        1        rx   rx_ppe_stat1_pl                  rx_lane_busy                                       gcr     000000100  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "State machine busy indicator on given lane"                                                        
ppe        1        rx   rx_ppe_stat1_pl                  rx_recal_done                                      gcr     000000100  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Recalibration done on given lane"                                                                  
ppe        1        rx   rx_ppe_stat1_pl                  rx_min_recal_cnt_reached                           gcr     000000100  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Reached the min_recal_cnt on this lane"                                                            
ppe        1        rx   rx_ppe_stat1_pl                  rx_recal_before_init                               gcr     000000100  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "This bit gets set if a recal request is on lane before init_done is set"                           
ppe        1        rx   rx_ppe_stat1_pl                  rx_cmd_init_done                                   gcr     000000100  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "This bit gets set if a recal request is on lane before init_done is set"                           
ppe        1        rx   rx_ppe_stat1_pl                  rx_eo_vga_ctle_loop_not_converged                  gcr     000000100  ROX          7         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Indicates that the VGA-CTLE loop did not converge in INIT"                                         
ppe        1        rx   rx_ppe_stat1_pl                  rx_a_bad_dfe_conv                                  gcr     000000100  ROX          8         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Eye opt Step failed DFE convergence on Bank A--not less than rx_ap110_ap010_delta_max \n0: Converged \n1: Not converged"
ppe        1        rx   rx_ppe_stat1_pl                  rx_lane_bad                                        gcr     000000100  ROX          10        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Indicates that the lane encountered some error during initial calibration or a recal. Bit is mirrored in rx_lane_bad_0_23."
ppe        1        rx   rx_ppe_stat1_pl                  rx_ddc_small_eye_warning                           gcr     000000100  ROX          11        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "DDC behavior is likely unstable because the measured eye has too little margin between the center and the edge. This dampens the ability to reliably measure an edge without introducing false errors that artificially indicate one and further decrease the eye."
ppe        1        rx   rx_ppe_stat1_pl                  rx_ddc_measure_limited                             gcr     000000100  ROX          12        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "DDC measure ended early without finding either left or right fuzz due to an eye shape / sample which was farther than the available mini-phase-rotator steps allowed it to search. The result is a skewed centering calculation. \n0: Normal result \n1: Limited accuracy result"
ppe        1        rx   rx_ppe_stat1_pl                  rx_dfe_full_quad                                   gcr     000000100  ROX          13        2        per-lane   "dummy_vhdl"                                       slow      func      00                                                                     ioreset    no      na     Register                                           "DFE Full Quadrant that will be calibrated by the next pass of DFE Full when rx_dfe_full_mode=1.  This value is incremented by one each pass so that recal will cover all four quadrants. \n00: North \n01: East \n10: South \n11: West."
ppe        1        rx   rx_ppe_stat1_pl                  ppe_pr_offset_applied                              gcr     000000100  RWX          15        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Static Phase Rotator Offset Usage Indicator. Set by PPE code once the override has been applied. May be cleared if a new override value is set."
ppe        1        rx   rx_ppe_stat2_pl                  rx_bad_eye_opt_width                               gcr     000000101  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Eye opt Step failed width test--lane marked bad"                                                   
ppe        1        rx   rx_ppe_stat2_pl                  rx_bad_eye_opt_height                              gcr     000000101  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Eye opt Step failed height test--lane marked bad"                                                  
ppe_alias  1        rx   rx_ppe_stat2_pl                  rx_step_fail_alias                                 gcr     000000101  ROX          2         14       per-lane   "dummy_vhdl"                                       slow      func      00000000000000                                                         ioreset    yes     na     Register                                           "RXBIST per-lane fail status alias"                                                                 
ppe        1        rx   rx_ppe_stat2_pl                  rx_ctle_gain_fail                                  gcr     000000101  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle gain step failed for this lane in rxbist or system"                                 
ppe        1        rx   rx_ppe_stat2_pl                  rx_latch_offset_fail                               gcr     000000101  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch or edge offset step failed for this lane in rxbist or system"                      
ppe        1        rx   rx_ppe_stat2_pl                  rx_eoff_fail                                       gcr     000000101  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch or edge offset step failed for this lane in rxbist or system"                      
ppe        1        rx   rx_ppe_stat2_pl                  rx_eoff_poff_fail                                  gcr     000000101  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates poff delta step failed for this lane in rxbist or system"                                
ppe        1        rx   rx_ppe_stat2_pl                  rx_ctle_peak1_fail                                 gcr     000000101  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step failed for this lane in rxbist or system"                                 
